Experiment.Accession,Experiment.Title,Organism.Name,Instrument,Submitter,Study.Accession,Study.Title,Sample.Accession,Sample.Title,Total.Size..Mb,Total.RUNs,Total.Spots,Total.Bases,Library.Name,Library.Strategy,Library.Source,Library.Selection
SRX15298259,Luquillo Experimental Forest Woody Plant Transcriptomes,Manilkara bidentata,Illumina HiSeq 2000,Smithsonian Institution,SRP375519,Luquillo Experimental Forest Woody Plant Transcriptomes,SRS13025073,,3738.71,1,30395352,9118605600,MANBID,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX15245106,RNA seq Behnia reticulata,Behnia reticulata,Illumina HiSeq 2000,University of Georgia,SRP374978,MonAToL Phylotranscriptomics,SRS12978015,,7621.1,1,56939657,11501810714,Behnia_reticulata,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX15245093,RNA seq Pandanus tectorius,Pandanus tectorius,Illumina HiSeq 2000,University of Georgia,SRP374978,MonAToL Phylotranscriptomics,SRS12978002,,2000.54,1,19785425,3007384600,Pandanus_tectorius,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX14944234,RNA-seq data of Salix suchowensis root,Salix suchowensis,Illumina NovaSeq 6000,Biozeron Shenzhen Inc.,SRP351511,Salix arbutifolia Genome sequencing and assembly,SRS12694841,,9285.76,1,90239253,26088944860,SS_root_RNA-seq,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX14878096,transcriptome of aboveground part of Artemisia wellbyi,Artemisia wellbyi,Illumina HiSeq 2500,Gansu Agricultural University,SRP370624,Transcriptome analysis of Artemisia wellbyi  under drought stress,SRS12631927,,3657.42,1,40669015,12200704500,T6-2,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX14870759,RNA-seq of Camellia vietnamensis,Camellia vietnamensis,Illumina NovaSeq 6000,Hainan University,SRP370508,Camellia vietnamensis Raw sequence reads,SRS12624777,,2426.91,1,27031167,8109350100,MJ20235,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX14859559,Transcriptome,Excoecaria agallocha,Illumina NovaSeq 6000,Fisheries Research Institute of Jiangsu Province,SRP370290,Genome-wide identification and expression analysis of mitogen-activated protein kinase (MAPK) genes in response to salinity stress in channel catfish (Ictalurus punctatus),SRS12614078,,2619.2,1,28395881,8518764300,salinity0-3,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX14849439,RNA-Seq of Synandrospadix vermitoxicus,Synandrospadix vermitoxicus,Illumina HiSeq 4000,"Kunming Institute of Botany, Chinese Academy of Sc",SRP369958,"transcriptomes, Araceae Transcriptome",SRS12604121,,2633.48,1,23650989,7095296700,Q202,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX14848628,RNA-seq:stem,Phyllanthus cochinchinensis,Illumina HiSeq X,Guangdong Academy of Agricultural Sciences,SRP370146,Phyllanthus cochinchinensis Genome sequencing and assembly,SRS12603314,,5979.36,1,67226546,19793671962,RNA-seq:stem,RNA-Seq,TRANSCRIPTOMIC,RT-PCR
SRX14362160,"RNA-seq of Smallanthus sonchifolius: root, biological replicate 1A",Smallanthus sonchifolius,Illumina NovaSeq 6000,"Agricultural Genomics Institute at Shenzhen, Chine",SRP362376,Reference genome of Smallanthus sonchifolius,SRS12175505,,2995.07,1,33767664,10130299200,S.sonchifolius_rnaseq1A,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX14839330,RNA-Seq of Pothos scandens,Pothos scandens,Illumina HiSeq 4000,"Kunming Institute of Botany, Chinese Academy of Sc",SRP369958,"transcriptomes, Araceae Transcriptome",SRS12594538,,2529.15,1,22372564,6711769200,Q210,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX14816145,RNA-Seq of Prunus subhirtella: leaf,Prunus subhirtella,Illumina HiSeq 4000,Michigan State University,SRP369543,Parental origins of the cultivated tetraploid sour cherry (Prunus cerasus L.),SRS12572681,,4658.78,1,41893275,12651769050,68470,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX14816144,RNA-Seq of Prunus pensylvanica: leaf,Prunus pensylvanica,Illumina HiSeq 4000,Michigan State University,SRP369543,Parental origins of the cultivated tetraploid sour cherry (Prunus cerasus L.),SRS12572682,,3824.96,1,35435721,10701587742,68469,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX14816141,RNA-Seq of Prunus fruticosa: leaf,Prunus fruticosa,Illumina HiSeq 4000,Michigan State University,SRP369543,Parental origins of the cultivated tetraploid sour cherry (Prunus cerasus L.),SRS12572677,,3476.55,1,31966433,9653862766,68466,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX14816139,RNA-Seq of Prunus maackii: leaf,Prunus maackii,Illumina HiSeq 4000,Michigan State University,SRP369543,Parental origins of the cultivated tetraploid sour cherry (Prunus cerasus L.),SRS12572676,,3540.31,1,32788074,9901998348,68464,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX14816137,RNA-Seq of Prunus canescens: leaf,Prunus canescens,Illumina HiSeq 4000,Michigan State University,SRP369543,Parental origins of the cultivated tetraploid sour cherry (Prunus cerasus L.),SRS12572674,,3869.94,1,35726217,10789317534,68463,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX14816136,RNA-Seq of Prunus serrulata: leaf,Prunus serrulata,Illumina HiSeq 4000,Michigan State University,SRP369543,Parental origins of the cultivated tetraploid sour cherry (Prunus cerasus L.),SRS12572673,,3594.06,1,33398104,10086227408,68462,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX14708328,Transcriptome sequencing of leaves with different colors in Acer triflorum,Acer triflorum,Illumina HiSeq 2500,Northeast Forestry University,SRP367178,Acer triflorum Transcriptome or Gene expression,SRS12471091,,4260.75,1,21910525,6573157500,RL-3,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX9196400,RNA-Seq of M. concanensis: flower tissue 1B,Moringa concanensis,Illumina HiSeq 2500,"National Centre for Biological Sciences, TIFR",SRP285471,Moringa concanensis Transcriptome or Gene expression,SRS7432035,,2320.12,1,31216684,6243336800,Mcon_Flower_1B,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX14582355,Aglabra_leaf,Annona glabra,Illumina NovaSeq 6000,Sun Yat-sen University,SRP365449,Mangrove Genome Project,SRS12354884,,2988.01,1,33003724,9901117200,Aglabra_leaf,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX14582342,Pobtusifolia_leaf,Premna serratifolia,Illumina NovaSeq 6000,Sun Yat-sen University,SRP365449,Mangrove Genome Project,SRS12354873,,2388.01,1,26292259,7887677700,Pobtusifolia_leaf,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX14582330,Cmicranthum_leaf,Combretum micranthum,Illumina NovaSeq 6000,Sun Yat-sen University,SRP365449,Mangrove Genome Project,SRS12354860,,2814.16,1,30817918,9245375400,Cmicranthum_leaf,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX14582329,Cerectus_leaf,Conocarpus erectus,Illumina NovaSeq 6000,Sun Yat-sen University,SRP365449,Mangrove Genome Project,SRS12354861,,2862.89,1,31420684,9426205200,Cerectus_leaf,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX14582304,Smacrophylla_leaf,Swietenia macrophylla,Illumina NovaSeq 6000,Sun Yat-sen University,SRP365449,Mangrove Genome Project,SRS12354835,,2467.91,1,27386023,8215806900,Smacrophylla_leaf,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX14582303,Xgranatum_flower,Xylocarpus granatum,Illumina HiSeq 2500,Sun Yat-sen University,SRP365449,Mangrove Genome Project,SRS12354834,,2602.96,1,29104867,7276216750,Xgranatum_flower,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX14582297,Xrumphii_leaf,Xylocarpus rumphii,Illumina NovaSeq 6000,Sun Yat-sen University,SRP365449,Mangrove Genome Project,SRS12354828,,2618.73,1,28339217,8501765100,Xrumphii_leaf,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX14582296,Cpectinifolia_root_s1,Carallia pectinifolia,Illumina NovaSeq 6000,Sun Yat-sen University,SRP365449,Mangrove Genome Project,SRS12354827,,2470.47,1,27639817,8291945100,Cpectinifolia_root_s1,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX14582285,Kcandel_leaf,Kandelia candel,Illumina NovaSeq 6000,Sun Yat-sen University,SRP365449,Mangrove Genome Project,SRS12354816,,2805.94,1,31189791,9356937300,Kcandel_leaf,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX8187593,RNA-seq of Artocarpus nanchuanensis,Artocarpus nanchuanensis,Illumina NovaSeq 6000,"College of life sciences, Sichuan University",SRP258840,Artocarpus nanchuanensis Genome sequencing and assembly,SRS12178541,,2590.08,1,28593982,8543667998,Q134-RNA,RNA-Seq,TRANSCRIPTOMIC,RT-PCR
SRX14297410,RNA-seq of Rhoiptelea chiliantha,Rhoiptelea chiliantha,HiSeq X Ten,Beijing Normal University,SRP094905,Whole genome sequences of Juglandaceae species,SRS12114633,,3846.22,1,43111077,12933323100,R_WM_F32,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR
SRX9275721,RNA-Seq of Erythrina velutina: adult leaves,Erythrina velutina,NextSeq 500,Federal University of Rio Grande do Norte,SRP286983,Caatinga: molecular identity studies,SRS7504268,,7401.12,1,57391786,15905409748,RGPNBio_alcaloides_LJSII,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX14199480,RNA Seq of Combretum indicum flower,Combretum indicum,NextSeq 500,Indian Institute of Technology Kharagapur,SRP360060,Combretum indicum Raw sequence reads,SRS12020120,,6101.29,1,49601032,14880309600,Combretum,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX14188913,RNA-seq of Hemia myrtifolia: leaf,Heimia myrtifolia,Illumina HiSeq 2500,Zhejiang Agriculture & Forestry University,SRP359923,Heimia myrtifolia Raw sequence reads,SRS12010526,,4305.02,1,21515031,6454509300,SAMN25775924_9,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX14045022,"RNA-Seq of Psittacanthus schiedeanus: 28 days after germination, replicate 1",Psittacanthus schiedeanus,NextSeq 500,Instituto de Ecologia A.C. (INECOL),SRP358320,Transcriptional responses of Psittacanthus schiedeanus germinated seeds reveals novel findings of haustorium formation and its establishment into the host.,SRS11879768,,1448.03,1,11371738,3306455406,EILTMU13,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX13961069,Transcriptome sequence of R. nigrum shoots at diferent time after BRV infection and  control virus free shoots in vitro,Ribes nigrum,Illumina NovaSeq 6000,Institute of Horticulture Lithuanian Research Cent,SRP357155,Ribes nigrum Transcriptome,SRS11801195,,2812.94,1,30235731,9070719300,R.n_A_C_4.3,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX8636402,"RNASeq of C. chinense, d1: 200 mM NaCl",Capsicum cardenasii,Illumina NovaSeq 6000,RWTH Aachen University,SRP268909,Transcriptome analysis of Capsicum annuum and Capsicum chinense under abiotic stresses,SRS6922734,,3788.72,1,42515699,12754709700,R32,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX13891076,RNA-Seq of Dracaena cambodiana,Dracaena cambodiana,Illumina NovaSeq 6000,Institute of medicinal plant development,SRP356516,Transcriptome sequencing of Dracaena cambodiana,SRS11756297,,2122.79,1,26060559,7347276268,TCK1,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR
SRX13718826,RNA-seq of Hippophae salicifolia,Hippophae salicifolia,Illumina HiSeq 2000,Fudan University,SRP354435,Reconstruction of reticulate evolution and divergence timing based on RNA-seq: Hippophae as a case,SRS11596503,,2668.48,1,22632627,6789788100,HS,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX13718823,RNA-seq of Hippophae neurocarpa,Hippophae neurocarpa,Illumina HiSeq 2000,Fudan University,SRP354435,Reconstruction of reticulate evolution and divergence timing based on RNA-seq: Hippophae as a case,SRS11596500,,1648.84,1,24880983,4478576940,HN,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX13718820,RNA-seq of Hippophae gyantsensis,Hippophae gyantsensis,Illumina HiSeq 2000,Fudan University,SRP354435,Reconstruction of reticulate evolution and divergence timing based on RNA-seq: Hippophae as a case,SRS11596497,,3239.26,1,27148092,4886656560,HG_east,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX13648912,RL-2,Hopea hainanensis,Illumina HiSeq X,Research Institute of Tropical Forestry,SRP353894,Integrated metabolome and transcriptome analyses reveal the phytochemical pathways underlying young red leaf forms in Hopea hainanensis,SRS11535339,,2642.59,1,29540192,8862057600,RL-2,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX13630598,transcriptome_data,Vaccinium bracteatum,Illumina NovaSeq 6000,Anhui Normal University,SRP353709,genome sequence of native Chinese wild blueberry,SRS11518105,,2286.3,1,23460966,7036829961,fruit2,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX13627572,T26-3,Phoebe bournei,HiSeq X Ten,Guizhou Botanical Garden,SRP353686,Phoebe bournei Transcriptome or Gene expression,SRS11515319,,3646.51,1,40422242,12126672600,L18,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX13449836,RNA-seq of Brugmansia,Brugmansia suaveolens,Illumina NovaSeq 6000,National Institute of Agricultural Sciences,SRP351513,Total mRNA-seq of Brugmansia infected by plant viruses,SRS11348973,,3493.86,1,38587535,11653435570,Brugmansia_Taean,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX13408926,RNA-Seq of Meliosma leaf,Sabia emarginata,Illumina HiSeq 2000,University of Florida,SRP201471,Transcriptome sequencing  below the Pentapetalae radiation,SRS11311576,,6138.72,1,46631285,9419519570,Meldilllf,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX13408925,RNA-Seq of Meliosma flower,Meliosma dilleniifolia,Illumina HiSeq 2000,University of Florida,SRP201471,Transcriptome sequencing  below the Pentapetalae radiation,SRS11311578,,15894.29,1,120743345,24390155690,Meldillfl,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX13408924,RNA-Seq of Sabia flower,Sabia swinhoei,Illumina HiSeq 2000,University of Florida,SRP201471,Transcriptome sequencing  below the Pentapetalae radiation,SRS11311577,,2879.81,1,29887549,7471887250,Sabswin,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX13323306,RNA-seq,Acer miyabei,Illumina NovaSeq 6000,ZheJiang University,SRP349353,Transcriptome in Series Campestria,SRS11230933,,3676.44,1,41224322,6176043571,LP197720,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX13323303,RNA-seq,Acer campestre,Illumina NovaSeq 6000,ZheJiang University,SRP349353,Transcriptome in Series Campestria,SRS11230929,,4199.94,1,46656734,6988803173,Pan Li 009454,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX13263265,Transcriptome of Pterocarpus santalinus,Pterocarpus santalinus,Illumina HiSeq 2500,Institute of Forest Genetics and Tree Breeding,SRP348664,Transcriptome of Pterocarpus santalinus,SRS11185036,,2273.86,1,17930663,5378448264,IFGTBNPS01,RNA-Seq,TRANSCRIPTOMIC,PCR
SRX13216841,RNA-seq of root in Sophora tonkinensis under red and blue light,Sophora tonkinensis,Illumina NovaSeq 6000,Guangxi Botanical Garden of Medicinal Plants,SRP347575,RNA-seq of root in Sophora tonkinensis under red and blue light,SRS11142509,,2878.4,1,31627191,9551411682,Z0_2,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
ERX5768269,Illumina HiSeq 4000 paired end sequencing; Raw reads: 20180730.A-pool6_sample_22,Leucospermum reflexum,Illumina HiSeq 4000,ETH ZURICH,ERP129928,Leucadendron transcriptomes,ERS6628022,,2116.82,1,16350683,4937906266,,RNA-Seq,TRANSCRIPTOMIC,cDNA
ERX5768259,Illumina HiSeq 4000 paired end sequencing; Raw reads: 20180601.B-pool3_sample_15,Leucadendron rubrum,Illumina HiSeq 4000,ETH ZURICH,ERP129928,Leucadendron transcriptomes,ERS6627958,,4705.8,1,35072639,10591936978,,RNA-Seq,TRANSCRIPTOMIC,cDNA
ERX5768229,Illumina HiSeq 4000 paired end sequencing; Raw reads: 20180730.A-pool6_sample_2,Leucadendron ericifolium,Illumina HiSeq 4000,ETH ZURICH,ERP129928,Leucadendron transcriptomes,ERS6628005,,4149.57,1,30796728,9300611856,,RNA-Seq,TRANSCRIPTOMIC,cDNA
ERX5768205,Illumina HiSeq 4000 paired end sequencing; Raw reads: 20180730.A-pool5_sample_14,Leucadendron dubium,Illumina HiSeq 4000,ETH ZURICH,ERP129928,Leucadendron transcriptomes,ERS6627997,,3705.36,1,28376106,8569584012,,RNA-Seq,TRANSCRIPTOMIC,cDNA
ERX5768199,Illumina HiSeq 4000 paired end sequencing; Raw reads: 20180730.A-pool5_sample_12,Leucadendron platyspermum,Illumina HiSeq 4000,ETH ZURICH,ERP129928,Leucadendron transcriptomes,ERS6627995,,3855.98,1,29861436,9018153672,,RNA-Seq,TRANSCRIPTOMIC,cDNA
ERX5768174,Illumina HiSeq 4000 paired end sequencing; Raw reads: 20180601.B-pool1_sample_20,Leucadendron xanthoconus,Illumina HiSeq 4000,ETH ZURICH,ERP129928,Leucadendron transcriptomes,ERS6627923,,3853.07,1,28191849,8513938398,,RNA-Seq,TRANSCRIPTOMIC,cDNA
ERX5768150,Illumina HiSeq 4000 paired end sequencing; Raw reads: 20180730.A-pool4_sample_10,Leucadendron muirii,Illumina HiSeq 4000,ETH ZURICH,ERP129928,Leucadendron transcriptomes,ERS6627973,,3281.16,1,25818132,7797075864,,RNA-Seq,TRANSCRIPTOMIC,cDNA
ERX5768016,Illumina HiSeq 4000 paired end sequencing; Raw reads: 20180601.B-pool1_sample_7,Leucadendron linifolium,Illumina HiSeq 4000,ETH ZURICH,ERP129928,Leucadendron transcriptomes,ERS6627910,,2973.9,1,22423831,6771996962,,RNA-Seq,TRANSCRIPTOMIC,cDNA
ERX5768009,Illumina HiSeq 4000 paired end sequencing; Raw reads: 20180730.A-pool4_sample_3,Leucadendron olens,Illumina HiSeq 4000,ETH ZURICH,ERP129928,Leucadendron transcriptomes,ERS6627966,,2402.62,1,19059676,5756022152,,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX12888417,Complete chloroplast genome sequences of three species of the genus Callerya and phylogenetic analysis with related species,Callerya dielsiana,Illumina NovaSeq 6000,Jiangxi University Of Traditional Chinese Medicine,SRP344138,Complete chloroplast genome sequences of three species of the genus Callerya and phylogenetic analysis with related species,SRS10831001,,2988.4,1,31252818,9375845400,Callerya-dielsiana,RNA-Seq,TRANSCRIPTOMIC,RANDOM
SRX12885604,Camellia leaves transcriptome,Camellia granthamiana,Illumina NovaSeq 6000,Anhui Agricultural University,SRP344096,Raw sequence data of 20 species of  Cameiia,SRS10828203,,2093.05,1,23995898,7198769400,C.gra3,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX12885590,Camellia leaves transcriptome,Polyspora speciosa,Illumina NovaSeq 6000,Anhui Agricultural University,SRP344096,Raw sequence data of 20 species of  Cameiia,SRS10828189,,2024.71,1,22554877,6766463100,G. acu3,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX12843382,fruit-bearing 80 days,Macadamia ternifolia,Illumina HiSeq 4000,Southwest Forestry University,SRP343855,Macadamia ternifolia Transcriptome or Gene expression,SRS10787273,,2804.03,1,32409853,9722955900,A20093033a S2,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX12773126,RNA-Seq of Gossypium stocksii: flower,Gossypium stocksii,Illumina NovaSeq 6000,Zhejiang Sci-Tech University,SRP343080,Gossypium stocksii Genome sequencing and assembly,SRS10718832,,2856.5,1,31748354,9524506200,Gs_flower,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX12633537,RNA-Seq of Bambusa oldhamii,Bambusa oldhamii,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10586920,,4778.04,1,47639938,9623267476,Bam22_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12578545,RNA-Seq of Guadua chacoensis,Guadua chacoensis,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10534383,,1835.41,1,20364975,6150222450,HM3874_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12578544,RNA-Seq of Pariana radiciflora,Pariana radiciflora,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10534382,,3671.06,1,29178091,8753427300,ZYP012_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12578542,RNA-Seq of Raddia brasiliensis,Raddia brasiliensis,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10534380,,2754.11,1,24246885,7274065500,HM2602_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12567057,T10_good_1,Betula nigra,Illumina HiSeq 2500,Chongqing Three Gorges University,SRP340778,Betula nigra Transcriptome or Gene expression,SRS10524259,,1097.46,1,24136818,3615770841,library4,RNA-Seq,TRANSCRIPTOMIC,cDNA
SRX12473297,RNA-Seq of Bambusa cerosissima,Bambusa cerosissima,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438278,,2334.19,1,20279786,6083935800,ZY205_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473296,RNA-Seq of Bambusa boniopsis,Bambusa boniopsis,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438277,,2234.7,1,19390059,5817017700,ZY207_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473295,RNA-Seq of Yushania anceps,Yushania anceps,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438275,,8537.62,1,72399081,21197314817,1969_3382_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473294,RNA-Seq of Sasa veitchii,Sasa veitchii,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438274,,7867.5,1,69070297,19644601933,1975_1479_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473293,RNA-Seq of Himalayacalamus falconeri,Himalayacalamus falconeri,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438276,,8308.81,1,71412155,20317841264,1992_3208_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473292,RNA-Seq of Arundinaria fargesii,Arundinaria fargesii,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438273,,8987.03,1,79251754,22523351928,1985_1897_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473290,RNA-Seq of Cephalostachyum pergracile,Cephalostachyum pergracile,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438271,,2428.59,1,20775942,6232782600,ZY215_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473289,RNA-Seq of Chusquea simpliciflora,Chusquea simpliciflora,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438270,,2516.45,1,21867360,6560208000,HM2604_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473287,RNA-Seq of Chusquea liebmannii,Chusquea liebmannii,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438268,,2456.03,1,21081212,6324363600,HM2601_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473286,RNA-Seq of Chusquea coronalis,Chusquea coronalis,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438267,,1986.73,1,16827930,5048379000,HM2603_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473285,RNA-Seq of Thyrsostachys siamensis,Thyrsostachys siamensis,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438266,,2465.1,1,21096685,6329005500,ZY206_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473284,RNA-Seq of Neomicrocalamus prainii,Neomicrocalamus prainii,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438265,,3014.91,1,28065689,8475838078,Z18006_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473283,RNA-Seq of Melocalamus compactiflorus,Melocalamus compactiflorus,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438263,,1787.83,1,19973477,6031990054,HM3869_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473282,RNA-Seq of Gigantochloa verticillata,Gigantochloa verticillata,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438264,,2446.89,1,20675079,6202523700,ZY216_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473281,RNA-Seq of Gigantochloa nigrociliata,Gigantochloa nigrociliata,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438262,,2318.96,1,19977848,5993354400,ZY212_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473280,RNA-Seq of Dendrocalamus bambusoides,Dendrocalamus bambusoides,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438260,,2543.91,1,21883904,6565171200,ZY209_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473278,RNA-Seq of Bambusa chungii,Bambusa chungii,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438261,,2415.96,1,20632226,6189667800,ZY210_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473277,RNA-Seq of Phyllostachys aureosulcata,Phyllostachys aureosulcata,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438258,,2528.95,1,21808602,6542580600,HM2630_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12473276,RNA-Seq of Chimonobambusa marmorea,Chimonobambusa marmorea,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10438257,,2415.45,1,21603867,6524367834,HM3576_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12404797,RNA-Seq of Schizostachyum pseudolima,Schizostachyum pseudolima,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10373980,,2287.45,1,20499689,6149906700,Bam18_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
SRX12305503,RNA-Seq of Eucalyptus camphora leaves,Eucalyptus camphora,Illumina HiSeq 2500,The University of Copenhagen,SRP338352,Eucalyptus transcriptomes,SRS10279102,,5229.66,1,54788276,11067231752,Ecam7md,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX12305498,RNA-Seq of Eucalyptus yarraensis leaves,Eucalyptus yarraensis,Illumina HiSeq 2500,The University of Copenhagen,SRP338352,Eucalyptus transcriptomes,SRS10279098,,5251.96,1,54059094,10919936988,Ey33DAS,RNA-Seq,TRANSCRIPTOMIC,unspecified
SRX12299196,RNA-Seq of Guadua angustifolia,Guadua angustifolia,Illumina HiSeq 3000,The Pennsylvania State University,SRP333355,Poaceae nuclear phylogeny,SRS10272867,,4186.82,1,36818416,11045524800,Bam17_1,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT
